               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11955,            0.041644,                   0,            0.001667,            0.018182,          0.00074857,          0.00014972,             0.11473,            0.041665,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11225,            0.041345,                   0,           0.0063595,            0.021488,           0.0017656,          0.00034474,             0.10374,            0.043251,                   0,           0.0010782,           0.0010782,            0.090078
                   2,              0.1043,            0.041693,                   0,           0.0064868,            0.039669,           0.0022762,          0.00048147,            0.097142,             0.04482,                   0,           0.0016327,           0.0016327,            0.084633
                   3,            0.099111,            0.042323,                   0,            0.018874,            0.069421,           0.0054466,           0.0010468,            0.092153,            0.046145,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.092905,            0.045789,                   0,            0.056716,            0.099174,             0.01807,           0.0031142,            0.086532,            0.048351,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.089601,            0.044906,                   0,            0.086699,              0.1686,            0.031961,           0.0066478,            0.082864,            0.049257,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.084448,              0.0471,                   0,             0.12683,             0.20992,            0.061687,            0.012339,            0.079718,            0.049023,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.081511,            0.046338,                   0,              0.1298,             0.22975,            0.065922,            0.012046,            0.077508,            0.049303,                   0,           0.0040486,           0.0040486,            0.057049
                   8,             0.07935,             0.04576,                   0,             0.16389,              0.1438,            0.062393,            0.011698,            0.076848,            0.049113,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.080141,            0.043251,                   0,             0.10524,             0.20496,            0.054701,           0.0098832,            0.079047,            0.047835,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.079012,             0.04234,                   0,             0.16292,             0.20826,            0.087511,            0.018049,            0.073871,             0.04916,                   0,            0.005213,            0.005213,            0.040213
                  11,             0.07191,            0.043987,                   0,             0.12982,             0.25289,            0.084294,            0.015684,            0.075463,            0.051098,                   0,           0.0055536,           0.0055536,            0.034554
                  12,            0.077082,            0.040276,                   0,             0.15423,             0.22149,            0.087532,            0.015586,            0.073201,            0.045102,                   0,           0.0058705,           0.0058705,             0.02887
                  13,              0.0718,            0.040862,                   0,             0.15713,             0.21488,             0.09906,            0.018066,            0.071883,            0.044578,                   0,           0.0061636,           0.0061636,            0.023164
                  14,            0.074532,            0.038595,                   0,             0.17496,             0.33554,             0.16027,            0.039817,            0.067956,            0.043388,                   0,           0.0064329,           0.0064329,            0.017433
                  15,            0.066108,            0.041016,                   0,             0.19751,             0.33388,             0.15414,            0.035755,            0.069091,            0.045518,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.067938,            0.037957,                   0,             0.25865,             0.31736,             0.18526,             0.04835,            0.063556,            0.039846,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.061285,            0.038985,                   0,             0.22887,             0.32893,              0.2171,            0.058684,             0.06349,            0.043318,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.064336,            0.036105,                   0,             0.26193,             0.41653,             0.25699,            0.069188,            0.060958,            0.038854,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.065863,            0.035179,                   0,             0.26414,             0.35776,             0.22405,            0.053424,            0.060375,             0.04007,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.060961,            0.036186,                   0,             0.29347,             0.50325,             0.31373,            0.077663,            0.057462,            0.038981,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.057426,            0.034975,                   0,             0.29582,              0.5438,             0.29161,            0.068053,            0.059802,            0.040536,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.058273,            0.034781,                   0,             0.37493,             0.52893,             0.35613,            0.095396,            0.054847,            0.042749,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.054868,            0.034411,                   0,             0.43703,             0.55041,             0.43815,             0.12071,            0.054364,            0.037066,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.055239,            0.032992,                   0,             0.46478,             0.59568,             0.46801,             0.12385,             0.05594,            0.034923,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.054358,            0.032562,                   0,             0.57652,             0.54711,              0.5415,             0.16943,            0.050771,            0.035641,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.054259,            0.031112,                   0,              0.6035,             0.58182,             0.58897,             0.20107,            0.049301,            0.035749,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.049519,            0.031973,                   0,             0.52269,             0.66281,             0.56574,             0.18998,            0.049313,            0.034129,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.053258,             0.03008,                   0,             0.59568,             0.66612,             0.58309,             0.21849,            0.047545,            0.032444,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.046641,            0.029604,                   0,             0.58155,             0.71736,             0.58394,             0.20689,            0.047399,            0.032331,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.046154,            0.029864,                   0,             0.62898,             0.74876,             0.66533,             0.26799,            0.044928,            0.031534,                   0,            0.004258,            0.004258,            0.004258
