               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12198,            0.054063,                   0,            0.012965,             0.07164,           0.0041192,           0.0007766,             0.11367,            0.060537,                   0,              0.0008,              0.0008,              0.0928
                   1,             0.10576,            0.059863,                   0,             0.12457,             0.18907,            0.074896,            0.013783,            0.096392,            0.062194,                   0,           0.0016832,           0.0016832,            0.084683
                   2,            0.091094,            0.056686,                   0,            0.098199,             0.29321,            0.060627,            0.012368,            0.099669,            0.085672,                   0,           0.0025485,           0.0025485,            0.076549
                   3,             0.08182,             0.04937,                   0,             0.28415,             0.52216,              0.2422,            0.061968,            0.087719,            0.080833,                   0,            0.003396,            0.003396,            0.068396
                   4,            0.077196,            0.044662,                   0,             0.28623,             0.45569,             0.25848,            0.060206,            0.085853,              0.0842,                   0,           0.0042258,           0.0042258,            0.060226
                   5,            0.070977,            0.042973,                   0,             0.27479,             0.54579,             0.24609,            0.047191,            0.077112,            0.079202,                   0,           0.0050376,           0.0050376,            0.052038
                   6,            0.066461,            0.040786,                   0,             0.28964,             0.61882,             0.31381,            0.095007,            0.072297,            0.075232,                   0,           0.0058317,           0.0058317,            0.043832
                   7,            0.060909,            0.039485,                   0,             0.35182,             0.61152,             0.31521,            0.068742,            0.071348,            0.059909,                   0,            0.006608,            0.006608,            0.035608
                   8,            0.059592,            0.037377,                   0,             0.55615,             0.64106,             0.55219,             0.14671,            0.054337,            0.062547,                   0,           0.0073664,           0.0073664,            0.027366
                   9,            0.060708,            0.049643,                   0,             0.23631,             0.47046,             0.23022,            0.061818,            0.068151,            0.058274,                   0,            0.008107,            0.008107,            0.019107
                  10,            0.068646,            0.055419,                   0,             0.24922,             0.43501,             0.21507,            0.045705,            0.073616,            0.058902,                   0,           0.0088298,           0.0088298,             0.01083
                  11,            0.065715,            0.048446,                   0,             0.18044,             0.61448,             0.15716,            0.034233,            0.078367,            0.072655,                   0,            0.008911,            0.008911,            0.008911
                  12,            0.067994,            0.038812,                   0,             0.31832,             0.59675,             0.32596,             0.07968,            0.069392,            0.072437,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.060557,            0.037252,                   0,             0.61914,             0.50665,             0.51898,             0.11316,            0.072073,            0.088457,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.059544,            0.036353,                   0,             0.36699,             0.69498,             0.40564,            0.092554,            0.067591,            0.072127,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.051803,            0.036531,                   0,             0.37025,             0.70236,               0.327,            0.064636,            0.065937,             0.07212,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.049427,            0.034536,                   0,             0.71441,             0.71498,             0.69701,             0.17413,            0.055117,            0.056481,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.044162,            0.033238,                   0,             0.78966,             0.67375,             0.75008,             0.33386,            0.047506,            0.044785,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046751,            0.033219,                   0,             0.68195,             0.73708,             0.65302,             0.28257,            0.048551,            0.043883,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.04136,            0.032789,                   0,             0.85153,             0.78065,             0.80181,             0.33793,            0.046427,            0.041529,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.045884,            0.031966,                   0,              0.8613,             0.83008,              0.8481,             0.39874,            0.044637,            0.039329,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.039474,            0.031743,                   0,             0.93248,             0.88257,             0.93799,             0.51747,            0.035596,            0.034633,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.037658,            0.030989,                   0,             0.92894,             0.89796,             0.91706,             0.48989,            0.035348,            0.033687,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033847,             0.03002,                   0,             0.98164,             0.91064,             0.96522,             0.59335,            0.030832,            0.031936,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033736,            0.029556,                   0,             0.95716,             0.89439,             0.95124,             0.61304,            0.029042,            0.031651,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.035689,            0.028928,                   0,             0.97451,             0.90547,             0.96293,             0.57558,            0.033817,            0.032206,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033854,            0.029632,                   0,             0.97744,             0.92836,             0.97139,             0.51768,            0.036571,            0.033558,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.033111,            0.030425,                   0,             0.98529,             0.94012,             0.98089,             0.58041,            0.031185,            0.029735,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.035129,            0.028605,                   0,             0.98353,             0.93131,             0.97984,             0.60264,            0.034149,            0.029181,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032137,            0.027931,                   0,              0.9754,             0.93714,             0.97845,              0.6054,            0.031103,            0.029115,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.030949,            0.027814,                   0,             0.95877,              0.8072,             0.87183,             0.57792,            0.035594,            0.043088,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.028556,            0.028285,                   0,             0.98041,             0.89217,             0.94269,             0.61657,            0.029345,            0.033142,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.03247,            0.028469,                   0,             0.97256,             0.91876,             0.96499,             0.63812,            0.030473,            0.030813,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.030528,            0.027935,                   0,             0.94304,             0.85598,             0.90949,             0.58421,            0.033397,            0.038682,                   0,            0.006832,            0.006832,            0.006832
