               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12198,            0.054063,                   0,            0.012965,             0.07164,           0.0041192,           0.0007766,             0.11367,            0.060537,                   0,              0.0008,              0.0008,              0.0928
                   1,             0.10579,             0.05985,                   0,             0.12511,             0.18316,            0.072249,            0.013032,            0.097365,            0.061455,                   0,            0.001676,            0.001676,            0.084676
                   2,            0.093478,            0.056252,                   0,             0.19758,             0.31478,             0.13575,            0.023229,            0.087909,            0.075994,                   0,           0.0025265,           0.0025265,            0.076526
                   3,            0.084148,            0.048819,                   0,             0.39512,             0.44978,             0.30987,            0.062076,            0.080734,            0.076597,                   0,           0.0033515,           0.0033515,            0.068352
                   4,            0.075497,             0.04553,                   0,             0.53211,             0.47489,             0.46621,             0.12964,             0.06934,            0.066352,                   0,           0.0041511,           0.0041511,            0.060151
                   5,            0.070697,            0.043968,                   0,             0.26173,             0.54801,             0.26667,            0.067459,            0.081289,            0.069042,                   0,           0.0049252,           0.0049252,            0.051925
                   6,            0.065941,            0.041485,                   0,             0.36633,             0.52068,             0.36799,            0.090377,            0.075304,             0.07565,                   0,           0.0056739,           0.0056739,            0.043674
                   7,            0.060089,            0.041053,                   0,             0.29473,              0.5997,             0.28275,            0.045587,            0.065526,            0.068524,                   0,           0.0063971,           0.0063971,            0.035397
                   8,            0.058438,            0.037275,                   0,             0.50304,              0.6033,             0.52056,             0.14046,            0.053792,            0.050392,                   0,           0.0070949,           0.0070949,            0.027095
                   9,            0.064142,            0.038315,                   0,             0.74826,             0.64032,              0.6724,             0.23123,            0.068623,            0.055798,                   0,           0.0077672,           0.0077672,            0.018767
                  10,            0.068141,            0.038861,                   0,             0.48382,             0.56903,             0.47356,              0.1095,             0.06307,            0.073934,                   0,            0.008414,            0.008414,            0.010414
                  11,            0.059219,            0.042726,                   0,             0.47387,             0.49705,             0.52081,             0.19076,            0.056356,            0.055235,                   0,           0.0084443,           0.0084443,           0.0084443
                  12,            0.060469,            0.037945,                   0,              0.4363,             0.44701,             0.38973,            0.087043,            0.066911,            0.051504,                   0,           0.0084443,           0.0084443,           0.0084443
                  13,            0.054819,            0.035492,                   0,             0.50382,             0.69892,             0.51902,             0.18292,            0.054158,            0.062048,                   0,           0.0083029,           0.0083029,           0.0083029
                  14,            0.056477,            0.035771,                   0,             0.59524,             0.74372,             0.65364,             0.27178,            0.053963,            0.048795,                   0,           0.0081614,           0.0081614,           0.0081614
                  15,            0.046679,            0.035984,                   0,             0.76438,             0.76071,              0.7743,             0.27703,            0.042803,            0.051618,                   0,             0.00802,             0.00802,             0.00802
                  16,            0.045698,            0.033299,                   0,             0.81369,             0.78065,             0.83744,             0.43082,            0.045471,            0.039061,                   0,           0.0078786,           0.0078786,           0.0078786
                  17,            0.043355,            0.032872,                   0,             0.89437,             0.80871,             0.88481,             0.40065,            0.048253,            0.039472,                   0,           0.0077371,           0.0077371,           0.0077371
                  18,             0.04477,             0.03199,                   0,              0.8793,              0.7969,             0.84454,             0.36463,            0.048732,            0.041921,                   0,           0.0075957,           0.0075957,           0.0075957
                  19,            0.042706,            0.031628,                   0,             0.91627,             0.86706,             0.91966,             0.46742,            0.038896,             0.03518,                   0,           0.0074543,           0.0074543,           0.0074543
                  20,            0.037011,            0.030261,                   0,             0.95376,             0.87149,             0.93768,             0.45297,            0.041618,            0.036684,                   0,           0.0073129,           0.0073129,           0.0073129
                  21,            0.035437,            0.030449,                   0,             0.95311,             0.89069,             0.94767,             0.53685,             0.03623,            0.033457,                   0,           0.0071714,           0.0071714,           0.0071714
                  22,            0.036532,            0.030405,                   0,             0.94517,             0.90473,             0.95616,             0.55222,            0.035182,            0.034016,                   0,             0.00703,             0.00703,             0.00703
                  23,            0.034545,            0.028832,                   0,             0.95005,             0.82939,             0.88593,             0.55011,            0.038862,             0.03878,                   0,           0.0068886,           0.0068886,           0.0068886
                  24,            0.036289,             0.02879,                   0,             0.88348,               0.784,             0.85228,             0.53036,               0.042,            0.042034,                   0,           0.0067471,           0.0067471,           0.0067471
                  25,            0.034583,            0.028087,                   0,             0.97932,             0.84934,              0.9148,             0.50846,            0.035642,            0.036575,                   0,           0.0066057,           0.0066057,           0.0066057
                  26,            0.031699,            0.028014,                   0,             0.97127,             0.87592,             0.93047,             0.57404,            0.032721,            0.035411,                   0,           0.0064643,           0.0064643,           0.0064643
                  27,             0.03016,            0.027959,                   0,             0.97885,             0.92393,             0.97043,             0.62343,            0.028473,            0.029953,                   0,           0.0063229,           0.0063229,           0.0063229
                  28,            0.032779,            0.027851,                   0,             0.96488,             0.93334,             0.96727,             0.58381,            0.031327,             0.03151,                   0,           0.0061814,           0.0061814,           0.0061814
                  29,            0.028157,            0.027184,                   0,             0.97438,             0.92684,             0.96647,             0.67539,            0.026925,            0.029262,                   0,             0.00604,             0.00604,             0.00604
                  30,            0.032881,            0.027703,                   0,             0.98119,             0.92463,             0.97637,             0.65275,            0.028917,            0.029016,                   0,           0.0058986,           0.0058986,           0.0058986
                  31,            0.027685,            0.025355,                   0,             0.98161,             0.94609,             0.97799,             0.64499,            0.029255,            0.027927,                   0,           0.0057571,           0.0057571,           0.0057571
                  32,            0.029024,            0.026144,                   0,             0.98204,             0.96896,             0.98687,             0.72082,            0.023968,             0.02593,                   0,           0.0056157,           0.0056157,           0.0056157
                  33,              0.0243,            0.025516,                   0,              0.9753,             0.96307,             0.98641,             0.71348,            0.024777,            0.026252,                   0,           0.0054743,           0.0054743,           0.0054743
                  34,            0.026648,            0.025085,                   0,             0.97463,             0.96603,             0.98963,             0.72758,            0.024921,            0.025388,                   0,           0.0053329,           0.0053329,           0.0053329
                  35,            0.025354,            0.024854,                   0,             0.97751,             0.96303,             0.98592,             0.66454,            0.027583,            0.025978,                   0,           0.0051914,           0.0051914,           0.0051914
                  36,            0.028777,            0.025325,                   0,             0.98198,             0.96602,             0.98898,             0.72625,            0.021241,            0.024359,                   0,             0.00505,             0.00505,             0.00505
                  37,            0.023599,            0.024247,                   0,             0.98059,             0.97341,             0.99138,             0.72062,            0.023806,            0.024604,                   0,           0.0049086,           0.0049086,           0.0049086
                  38,             0.02657,            0.024514,                   0,             0.98645,             0.97194,             0.99292,             0.73973,            0.021869,            0.023765,                   0,           0.0047671,           0.0047671,           0.0047671
                  39,            0.023418,            0.024221,                   0,             0.98213,             0.97412,             0.99087,             0.71699,            0.023008,            0.024363,                   0,           0.0046257,           0.0046257,           0.0046257
