               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1251,            0.052794,                   0,            0.045004,            0.013294,           0.0028066,           0.0004828,             0.12156,            0.055909,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11623,            0.057619,                   0,            0.034231,             0.06647,            0.008449,           0.0015438,              0.1088,            0.062809,                   0,           0.0010782,           0.0010782,            0.090078
                   2,              0.1059,            0.060002,                   0,             0.11968,              0.1743,            0.059872,             0.00991,            0.098776,            0.063788,                   0,           0.0016327,           0.0016327,            0.084633
                   3,            0.096251,            0.061048,                   0,             0.24674,             0.25554,             0.16637,            0.033272,            0.088736,            0.062761,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.088114,            0.055582,                   0,             0.19252,             0.26292,             0.11272,            0.019285,            0.091875,            0.088725,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.082278,            0.050014,                   0,             0.29945,             0.49631,             0.26497,            0.048693,            0.078645,            0.081567,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.079429,            0.045665,                   0,              0.4099,             0.49763,             0.37868,            0.086733,            0.072881,            0.075219,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.077524,            0.043357,                   0,             0.31059,             0.49709,             0.28388,            0.080336,            0.077362,            0.060859,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.088931,            0.041128,                   0,              0.2389,             0.43427,             0.18866,             0.04482,             0.11487,            0.041737,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.097059,            0.039417,                   0,              0.2514,             0.42984,             0.21056,            0.050266,            0.084786,            0.055284,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.081246,            0.042666,                   0,             0.39612,             0.53323,             0.39852,            0.086474,            0.076872,            0.055838,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.083932,             0.04132,                   0,             0.46521,             0.49483,             0.41041,            0.092716,            0.073993,            0.045746,                   0,           0.0055536,           0.0055536,            0.034554
                  12,            0.073846,            0.047098,                   0,              0.1058,              0.5699,             0.10143,            0.022998,            0.088417,            0.078901,                   0,           0.0058705,           0.0058705,             0.02887
                  13,            0.070601,            0.042246,                   0,             0.20597,             0.50655,             0.19887,            0.048692,            0.078691,            0.058868,                   0,           0.0061636,           0.0061636,            0.023164
                  14,             0.06993,            0.041704,                   0,             0.29958,             0.50517,             0.26073,            0.044877,            0.064217,            0.063098,                   0,           0.0064329,           0.0064329,            0.017433
                  15,            0.063387,            0.039992,                   0,             0.28172,             0.58346,             0.29606,            0.063392,            0.066685,            0.056618,                   0,           0.0066785,           0.0066785,            0.011678
