               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1103,            0.058549,                   0,             0.11464,             0.15969,            0.063338,            0.012822,             0.10285,            0.059296,                   0,              0.0022,              0.0022,              0.0802
                   1,            0.083674,            0.050351,                   0,             0.07462,             0.44239,            0.059543,            0.010969,             0.10226,            0.095404,                   0,           0.0044109,           0.0044109,            0.059411
                   2,            0.085555,            0.041613,                   0,             0.12292,             0.44121,            0.097117,            0.015896,            0.091625,            0.061591,                   0,           0.0065307,           0.0065307,            0.038531
                   3,            0.074293,            0.041818,                   0,             0.19259,             0.51612,             0.16072,            0.034267,            0.073684,             0.13689,                   0,           0.0085595,           0.0085595,            0.017559
                   4,            0.063715,             0.04213,                   0,             0.30465,              0.4435,             0.29019,            0.052743,            0.065818,            0.062605,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.054653,            0.040251,                   0,             0.39668,             0.58059,              0.3213,            0.095385,            0.067147,            0.073756,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.04941,             0.03729,                   0,             0.68371,             0.79548,             0.66393,              0.2489,            0.044568,             0.05834,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.042045,            0.035006,                   0,             0.81333,             0.75139,              0.7755,             0.35357,            0.043121,            0.044853,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.04051,            0.033609,                   0,             0.93438,             0.85993,             0.92287,             0.43948,            0.040133,             0.04028,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.038046,            0.033234,                   0,              0.9558,              0.8413,             0.91701,             0.51833,            0.033866,            0.042777,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.03752,            0.032479,                   0,              0.9278,             0.86651,             0.91691,             0.53515,            0.034907,            0.037044,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.033335,            0.031232,                   0,             0.96077,             0.89822,             0.94446,             0.59384,            0.029133,            0.038941,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032787,            0.029797,                   0,             0.94248,             0.83957,             0.90482,             0.46529,            0.035784,            0.038294,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.030499,            0.028019,                   0,             0.97589,             0.93146,              0.9719,             0.66937,            0.026414,            0.028498,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.028965,            0.027238,                   0,             0.97514,             0.94478,             0.98068,             0.66631,            0.027517,              0.0278,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.029452,            0.027107,                   0,             0.97686,             0.94035,             0.97465,              0.6607,            0.023729,            0.027931,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.028277,            0.027433,                   0,             0.97125,             0.93924,             0.97347,               0.705,            0.024235,            0.027307,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.026517,            0.025749,                   0,             0.98213,             0.94035,             0.97911,             0.67908,            0.023054,            0.027919,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.026302,             0.02612,                   0,             0.99299,             0.94513,             0.98324,             0.61849,            0.027489,            0.027837,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.026267,            0.024832,                   0,              0.9837,             0.91696,             0.95635,             0.70346,            0.022483,             0.03029,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.026344,            0.024956,                   0,             0.98818,             0.95332,             0.98427,             0.73853,            0.021513,            0.024856,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.022484,            0.023846,                   0,             0.98967,             0.97184,             0.98817,             0.77532,            0.017501,             0.02258,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.023835,            0.023619,                   0,             0.98319,             0.97506,             0.98796,             0.75509,            0.019076,            0.023476,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.021757,            0.024107,                   0,             0.98788,             0.96999,             0.98549,             0.73466,            0.020159,            0.023863,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.021712,            0.022966,                   0,              0.9876,             0.97368,              0.9887,             0.76658,            0.018672,            0.023067,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.020148,            0.022592,                   0,             0.99318,             0.97258,             0.99038,             0.78216,            0.016974,            0.021523,                   0,            0.005248,            0.005248,            0.005248
