               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12521,            0.049485,                   0,           0.0082111,            0.021488,           0.0064411,           0.0012669,             0.12274,            0.051624,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11634,             0.05352,                   0,             0.01811,             0.08595,           0.0061453,           0.0010963,             0.11014,            0.056382,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10517,            0.055457,                   0,            0.081206,             0.21066,             0.04104,             0.00836,            0.098009,            0.058934,                   0,           0.0016327,           0.0016327,            0.084633
                   3,            0.096035,             0.05636,                   0,            0.098837,             0.25289,            0.056026,            0.010937,            0.093896,            0.056741,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.088735,            0.052219,                   0,             0.24416,             0.23967,             0.15128,            0.024819,            0.084536,            0.073887,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.084565,            0.046978,                   0,             0.30733,             0.29421,             0.21034,            0.045782,            0.094781,            0.061237,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.078753,            0.044513,                   0,            0.074859,              0.4562,            0.060128,            0.011787,            0.084517,            0.073312,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.077547,            0.042601,                   0,             0.20432,             0.44628,             0.15317,            0.029717,            0.078119,            0.054934,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.081112,            0.040325,                   0,             0.23604,             0.26942,             0.15231,            0.035974,             0.10694,            0.046038,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.087447,            0.039468,                   0,             0.40783,             0.61322,             0.40803,             0.10161,             0.07451,            0.043783,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.073497,            0.042547,                   0,             0.17662,             0.39835,             0.12791,             0.02531,            0.090142,            0.052756,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.076762,            0.038897,                   0,              0.2156,             0.43114,             0.17282,            0.027214,            0.084315,            0.056694,                   0,           0.0055536,           0.0055536,            0.034554
                  12,            0.074934,            0.038727,                   0,             0.11976,             0.59008,              0.1038,            0.023709,            0.077058,            0.065762,                   0,           0.0058705,           0.0058705,             0.02887
                  13,            0.070339,            0.037589,                   0,             0.40261,             0.55041,             0.34079,              0.1063,            0.071219,            0.053012,                   0,           0.0061636,           0.0061636,            0.023164
                  14,            0.069688,            0.037617,                   0,             0.34424,             0.54665,             0.31327,            0.064495,            0.069658,            0.059783,                   0,           0.0064329,           0.0064329,            0.017433
                  15,            0.061495,            0.037861,                   0,             0.38445,             0.52231,             0.36585,            0.075664,            0.065885,            0.063082,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.060224,            0.036886,                   0,             0.34547,             0.54711,              0.3394,            0.081008,            0.069307,            0.071938,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.058413,            0.036081,                   0,             0.44907,             0.57851,             0.42165,             0.12665,            0.055456,              0.0809,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.054238,            0.035306,                   0,             0.36477,             0.69587,             0.38586,            0.088676,            0.056666,            0.068993,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.056636,            0.035183,                   0,             0.40947,             0.80496,             0.42921,             0.15032,            0.051666,            0.067215,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.046586,             0.03487,                   0,             0.69502,              0.7405,             0.72263,             0.25643,            0.045964,            0.071804,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.044857,             0.03404,                   0,             0.56885,             0.74582,             0.59757,             0.20162,            0.047615,            0.080643,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.044848,            0.034061,                   0,             0.73693,             0.75041,             0.72383,             0.28365,             0.04496,            0.064294,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.042471,            0.033622,                   0,             0.81262,             0.73223,             0.73943,             0.31854,            0.044386,            0.056596,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.039721,            0.033306,                   0,              0.7201,             0.81648,             0.73281,             0.31263,            0.042551,            0.051455,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.038473,             0.03246,                   0,             0.84331,             0.79173,             0.79578,             0.38319,            0.040593,            0.047583,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.036199,            0.032761,                   0,             0.77138,             0.82149,             0.78984,             0.39197,            0.036237,            0.044729,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.044479,            0.031857,                   0,             0.88903,             0.80779,              0.8746,             0.47335,            0.036579,            0.037081,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.038806,            0.031437,                   0,             0.88164,             0.86942,             0.88617,             0.48495,            0.033019,            0.035237,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.032641,            0.029931,                   0,             0.88631,             0.86446,             0.89552,             0.51441,             0.03298,            0.035866,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.038607,            0.031737,                   0,             0.89075,             0.89091,             0.90538,             0.53543,            0.029274,            0.033244,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.031583,            0.028812,                   0,             0.89984,             0.90578,             0.91951,             0.54301,            0.030697,            0.033796,                   0,             0.00406,             0.00406,             0.00406
                  32,              0.0324,            0.029027,                   0,              0.8864,             0.91569,             0.91182,             0.55049,            0.027831,            0.034456,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.031221,            0.028438,                   0,             0.89868,             0.92562,             0.92938,             0.58647,            0.027234,            0.030691,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.03072,            0.028197,                   0,             0.91148,             0.92066,             0.93778,             0.60035,            0.025552,            0.029805,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.029863,            0.027271,                   0,             0.91668,             0.91074,             0.93507,             0.62827,            0.024502,            0.030113,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.025666,            0.027029,                   0,             0.88956,             0.95859,              0.9499,             0.62919,            0.023552,            0.028976,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.025679,            0.026096,                   0,             0.89656,             0.93223,             0.92821,             0.63234,            0.022905,            0.030516,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.025888,            0.025815,                   0,             0.88535,             0.94545,             0.93661,             0.63245,            0.023135,            0.029077,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025152,            0.026108,                   0,             0.90461,             0.94046,             0.94186,             0.65958,            0.022699,            0.028037,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025169,            0.025373,                   0,             0.92677,             0.92231,             0.95687,             0.69283,            0.021946,            0.027406,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.022566,            0.025103,                   0,             0.91054,             0.94211,             0.95533,              0.7053,            0.020744,            0.026918,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022733,            0.024454,                   0,             0.92786,             0.93554,             0.96618,               0.724,            0.019669,            0.025855,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.022246,            0.024038,                   0,              0.9192,              0.9405,              0.9645,              0.7056,            0.020199,            0.026194,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.021977,            0.024443,                   0,             0.93456,             0.92057,             0.96707,             0.72451,            0.019278,            0.025455,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.021828,            0.024183,                   0,             0.92146,             0.93388,             0.95966,             0.71376,             0.01966,            0.026094,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.020219,            0.023048,                   0,             0.88922,             0.96857,              0.9578,             0.72286,            0.019227,            0.026142,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.020329,            0.023659,                   0,             0.89416,              0.9635,             0.95915,             0.72863,            0.018666,             0.02581,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.019904,            0.022691,                   0,             0.89999,             0.96682,             0.96263,             0.73699,            0.018453,            0.024999,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.020481,            0.022771,                   0,             0.90796,             0.96198,             0.96708,             0.74128,            0.018053,            0.024551,                   0,            0.000496,            0.000496,            0.000496
