               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1183,            0.055686,                   0,            0.062832,             0.12555,            0.023292,           0.0044587,             0.10313,            0.064218,                   0,              0.0017,              0.0017,              0.0847
                   1,            0.097034,            0.058405,                   0,             0.11866,             0.26071,            0.075648,            0.015032,            0.098957,            0.067802,                   0,           0.0034654,           0.0034654,            0.068465
                   2,            0.090561,            0.048869,                   0,             0.21524,             0.17799,             0.14005,            0.033848,            0.099283,             0.05619,                   0,           0.0051951,           0.0051951,            0.052195
                   3,            0.080301,            0.045116,                   0,            0.081691,             0.38774,            0.060606,            0.011852,             0.10544,            0.080792,                   0,           0.0068891,           0.0068891,            0.035889
                   4,            0.081075,            0.043563,                   0,             0.39232,             0.51829,             0.35102,             0.08625,            0.075206,            0.055823,                   0,           0.0085476,           0.0085476,            0.019548
                   5,            0.073874,            0.042836,                   0,              0.2877,             0.63516,             0.28734,            0.054376,             0.06596,            0.063608,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.064761,            0.040203,                   0,             0.37739,             0.57976,             0.36346,            0.096961,            0.061231,            0.068908,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054452,            0.040025,                   0,             0.49542,             0.62555,             0.50626,             0.19179,            0.053967,            0.073625,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053207,            0.037405,                   0,             0.73432,             0.69645,             0.67959,              0.2668,            0.053002,            0.056812,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047912,            0.036786,                   0,              0.7449,             0.79764,             0.81398,             0.39756,             0.04326,            0.057688,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.044606,            0.034719,                   0,             0.89546,             0.76957,             0.85832,             0.41907,            0.045969,            0.045679,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045054,            0.034227,                   0,             0.89966,             0.82772,             0.89973,             0.42535,            0.040233,            0.036872,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041791,            0.033804,                   0,             0.95175,             0.85958,             0.92729,             0.53689,            0.034327,            0.036846,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.037035,            0.031402,                   0,             0.95402,             0.91943,             0.95434,             0.55083,            0.030179,            0.032818,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038659,            0.032795,                   0,             0.96071,             0.85081,             0.90605,             0.49426,            0.038374,            0.039769,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040227,            0.032085,                   0,             0.96315,             0.84929,             0.90635,              0.4794,            0.039829,            0.040149,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037266,            0.030871,                   0,             0.97545,             0.88033,             0.93631,              0.5117,            0.034621,            0.035274,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.035035,            0.029926,                   0,             0.97577,             0.86263,             0.91973,             0.59105,            0.030507,            0.037045,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.031404,            0.028669,                   0,             0.99204,              0.9202,             0.96776,             0.61913,            0.026925,            0.029353,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.031531,            0.028745,                   0,             0.98733,             0.92171,             0.96918,             0.58956,            0.031472,            0.031017,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.035661,            0.029398,                   0,             0.96708,             0.91654,             0.95806,             0.65092,            0.025803,            0.030103,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.030379,            0.028707,                   0,             0.97404,             0.94218,             0.97281,             0.65579,            0.027409,            0.029462,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.03098,            0.028416,                   0,             0.98533,             0.94609,             0.97945,             0.66907,            0.024356,            0.027263,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.028096,            0.026844,                   0,             0.98199,             0.92613,             0.97098,             0.64292,            0.026841,             0.03046,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031797,            0.028023,                   0,             0.96575,             0.93706,              0.9735,             0.67733,            0.024686,            0.029085,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.030873,            0.027108,                   0,              0.9811,             0.95842,             0.98646,             0.70707,             0.02258,            0.026211,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.025998,            0.025713,                   0,             0.97905,             0.96898,             0.98744,             0.68264,            0.023618,            0.025863,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.028186,            0.026398,                   0,             0.98837,             0.94148,             0.98365,             0.68865,            0.023571,            0.026552,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.027945,             0.02619,                   0,             0.98193,             0.96305,             0.98785,             0.70164,            0.023893,            0.026625,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030331,            0.026042,                   0,             0.97311,             0.93796,              0.9837,             0.71077,            0.024516,            0.026411,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.025367,             0.02552,                   0,             0.98145,              0.9771,             0.98853,             0.74663,            0.021137,            0.024323,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.024509,            0.024651,                   0,             0.99022,             0.97563,             0.99301,             0.74778,             0.02066,            0.024246,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.026576,            0.025203,                   0,             0.98728,             0.97489,             0.98988,             0.71518,             0.02231,            0.024575,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.026296,            0.025057,                   0,             0.98652,             0.97257,             0.98765,             0.74317,            0.020627,            0.024361,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.02438,            0.024582,                   0,             0.98993,              0.9579,             0.98727,             0.71985,            0.021794,            0.025073,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.021998,            0.024412,                   0,             0.98862,              0.9623,             0.98639,             0.73245,            0.020844,            0.024805,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.024408,            0.024524,                   0,             0.98141,             0.97637,             0.98704,             0.71431,            0.022018,            0.024551,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.023982,            0.024139,                   0,             0.98867,             0.96898,             0.98622,             0.76155,            0.020159,            0.023892,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.022563,            0.023972,                   0,             0.98511,             0.97709,             0.99191,             0.75484,            0.020541,            0.023259,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.025787,            0.024002,                   0,              0.9886,              0.9808,             0.99274,              0.7607,             0.02008,             0.02354,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023725,            0.023941,                   0,             0.98741,             0.98447,             0.99416,             0.75403,            0.020123,            0.022969,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022572,            0.022643,                   0,             0.98419,             0.96528,             0.98889,             0.75846,            0.020144,             0.02451,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020993,            0.022731,                   0,              0.9889,             0.98664,             0.99393,               0.763,            0.018859,            0.022547,                   0,            0.005941,            0.005941,            0.005941
