               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046129,            0.062636,            0.019019,             0.69676,              0.6487,             0.72273,             0.47132,            0.040863,            0.036892,           0.0096199,              0.0007,              0.0007,              0.0937
                   1,            0.044749,            0.069596,            0.017441,             0.77498,             0.63244,             0.73957,             0.48275,            0.040252,            0.036449,           0.0088011,            0.001005,            0.001005,            0.086005
                   2,            0.045028,            0.064875,            0.016701,             0.80712,             0.62454,             0.74461,             0.48971,            0.040017,            0.036084,           0.0084334,            0.000782,            0.000782,            0.077782
