               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1251,            0.052794,                   0,            0.045004,            0.013294,           0.0028066,           0.0004828,             0.12156,            0.055909,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11623,            0.057619,                   0,            0.034231,             0.06647,            0.008449,           0.0015438,              0.1088,            0.062809,                   0,           0.0010782,           0.0010782,            0.090078
                   2,              0.1059,            0.060002,                   0,             0.11968,              0.1743,            0.059872,             0.00991,            0.098776,            0.063788,                   0,           0.0016327,           0.0016327,            0.084633
                   3,            0.096251,            0.061048,                   0,             0.24674,             0.25554,             0.16637,            0.033272,            0.088736,            0.062761,                   0,           0.0021634,           0.0021634,            0.079163
