               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12521,             0.05287,                   0,            0.044559,           0.0073855,           0.0064751,          0.00078549,             0.12289,            0.054736,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11671,            0.056966,                   0,            0.025299,            0.069424,           0.0072415,           0.0013167,             0.10884,            0.062408,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10517,            0.060238,                   0,             0.13984,             0.18759,            0.061894,            0.011877,            0.098807,            0.062379,                   0,           0.0016327,           0.0016327,            0.084633
                   3,            0.096561,            0.060221,                   0,             0.24403,             0.17578,             0.11473,            0.021659,            0.097137,            0.058542,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.089036,            0.055235,                   0,             0.22401,             0.33383,             0.15673,            0.027893,            0.089263,            0.081828,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.081351,            0.051261,                   0,             0.29953,             0.32792,              0.2166,            0.039857,            0.080422,            0.073423,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.077073,            0.046177,                   0,             0.39783,             0.46529,             0.34651,            0.069763,             0.07669,            0.079681,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.075437,            0.044096,                   0,             0.40472,             0.45199,             0.37726,            0.088708,            0.081834,            0.070004,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.083563,            0.041502,                   0,             0.19352,             0.17725,            0.097412,            0.020626,             0.10218,            0.047097,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.085153,            0.043134,                   0,             0.54468,             0.40177,             0.40846,             0.10485,            0.074569,            0.048807,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.074386,            0.043745,                   0,             0.14018,             0.19941,            0.092833,            0.016275,            0.088162,            0.055843,                   0,            0.005213,            0.005213,            0.040213
