               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11061,            0.047642,                   0,           0.0087821,            0.049587,           0.0028242,          0.00056356,             0.11627,            0.055404,                   0,              0.0011,              0.0011,              0.0901
                   1,             0.10173,            0.050363,                   0,            0.041987,             0.10413,            0.017897,           0.0032549,             0.10359,            0.059992,                   0,            0.001541,            0.001541,            0.078541
                   2,            0.091476,            0.052844,                   0,               0.101,             0.22645,             0.05516,           0.0094294,            0.096256,            0.059509,                   0,             0.00119,             0.00119,             0.06619
