               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.023664,            0.026146,                   0,             0.90892,              0.9405,               0.945,             0.67894,            0.020776,            0.027234,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.022853,            0.025565,                   0,             0.89827,             0.94872,             0.94496,             0.69627,            0.020781,            0.027244,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024191,            0.025616,                   0,             0.90593,             0.95537,              0.9624,             0.71504,            0.019827,            0.025903,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02253,             0.02507,                   0,             0.90385,             0.96364,             0.96771,             0.72406,            0.019258,            0.025193,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.021488,            0.024516,                   0,             0.89969,             0.96364,             0.97239,             0.72076,            0.019499,            0.025291,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.021855,            0.024704,                   0,             0.91064,             0.96033,             0.97298,             0.73788,            0.018418,             0.02457,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.021069,            0.023772,                   0,             0.92468,             0.95372,             0.97367,             0.73862,            0.018296,            0.024254,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.019797,            0.023229,                   0,             0.93861,             0.93719,             0.97066,             0.73688,            0.018581,            0.024404,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.020197,            0.023517,                   0,             0.91853,             0.95207,             0.96761,             0.73951,            0.018174,            0.024463,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.019404,            0.022729,                   0,             0.92833,             0.94202,             0.96988,             0.74295,            0.017847,            0.024386,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.01976,            0.022464,                   0,             0.92552,             0.94711,              0.9701,             0.74505,            0.017793,              0.0243,                   0,            0.000496,            0.000496,            0.000496
